device_type,os_version_key,name,typed_value
Mac,"(15, 0)",supports-ack-v1,
Mac,"(15, 0)",supports-animoji-v2,True
Mac,"(15, 0)",supports-askto,
Mac,"(15, 0)",supports-audio-messaging-v2,
Mac,"(15, 0)",supports-autoloopvideo-v1,
Mac,"(15, 0)",supports-avless,
Mac,"(15, 0)",supports-be-v1,
Mac,"(15, 0)",supports-beacon-sharing-v2,
Mac,"(15, 0)",supports-beacon-sharing-v3,
Mac,"(15, 0)",supports-beneficiary-invites,
Mac,"(15, 0)",supports-ca-v1,
Mac,"(15, 0)",supports-certified-delivery-v1,
Mac,"(15, 0)",supports-co,
Mac,"(15, 0)",supports-cross-platform-sharing,
Mac,"(15, 0)",supports-dq-nr,
Mac,"(15, 0)",supports-emoji-images,
Mac,"(15, 0)",supports-emoji-stickers,
Mac,"(15, 0)",supports-emoji-tapbacks,
Mac,"(15, 0)",supports-family-invite-message-bubble,
Mac,"(15, 0)",supports-findmy-plugin-messages,
Mac,"(15, 0)",supports-fm-fence-v1,
Mac,"(15, 0)",supports-fmd-v2,
Mac,"(15, 0)",supports-fsm-v1,
Mac,"(15, 0)",supports-fsm-v2,
Mac,"(15, 0)",supports-fsm-v3,
Mac,"(15, 0)",supports-gft-calls,
Mac,"(15, 0)",supports-gft-errors,
Mac,"(15, 0)",supports-gft-relay,
Mac,"(15, 0)",supports-group-photo-refresh-version,
Mac,"(15, 0)",supports-harmony,False
Mac,"(15, 0)",supports-hdr,True
Mac,"(15, 0)",supports-heif,True
Mac,"(15, 0)",supports-hi-res-vid,
Mac,"(15, 0)",supports-high-quality-photo-file-sizes,
Mac,"(15, 0)",supports-hk-resident,
Mac,"(15, 0)",supports-hybrid-groups-v1,
Mac,"(15, 0)",supports-ii-v1,
Mac,"(15, 0)",supports-impact-v1,
Mac,"(15, 0)",supports-incoming-fmd-v1,
Mac,"(15, 0)",supports-inline-attachments,
Mac,"(15, 0)",supports-keep-receipts,
Mac,"(15, 0)",supports-key-sharing,
Mac,"(15, 0)",supports-live-delivery,
Mac,"(15, 0)",supports-location-sharing,
Mac,"(15, 0)",supports-manatee-activity-sharing,
Mac,"(15, 0)",supports-maps-protocol-v5,
Mac,"(15, 0)",supports-maps-routing-path-leg,
Mac,"(15, 0)",supports-maps-waypoint-route-sharing,
Mac,"(15, 0)",supports-media-v2,
Mac,"(15, 0)",supports-mirage,
Mac,"(15, 0)",supports-modern-gft,
Mac,"(15, 0)",supports-original-timestamp-v1,
Mac,"(15, 0)",supports-people-ranging-v1,
Mac,"(15, 0)",supports-people-request-messages,
Mac,"(15, 0)",supports-people-request-messages-v2,
Mac,"(15, 0)",supports-people-request-messages-v3,
Mac,"(15, 0)",supports-photos-extension-v1,
